,pair,n_cells,valid,mean_phase_deg,concentration_R,share_in_phase,share_anti_phase,share_x_leads,share_y_leads,mean_lead_days
короткий (2-8д),BTC-ETH,35174,True,0.7352138390816026,0.8522084758814277,0.8687667026781145,0.010974014897367374,0.29973844316824927,0.29214760902939674,0.0160950533328494
средний (8-32д),BTC-ETH,36596,True,4.361741558258301,0.831701921377635,0.8343534812547819,0.011968521149852442,0.359274237621598,0.27177833643021093,0.23371838727960548
длинный (32-128д),BTC-ETH,33482,True,18.673169788618225,0.7669827812964821,0.7258526969715071,0.024938773072098443,0.5418135117376501,0.1587420106325787,3.55100280974155
короткий (2-8д),BTC-SOL,18807,True,2.619718189611265,0.8233984426636872,0.8375073111075664,0.012069973945871218,0.36385388419205617,0.30361035784548307,0.02344433709733266
средний (8-32д),BTC-SOL,19369,True,0.7123161142040868,0.8179003840751219,0.8313800402705354,0.008983427125819609,0.3623315607413909,0.34870153337807835,0.10688014703399089
длинный (32-128д),BTC-SOL,21379,True,8.300411890267323,0.7463750717611697,0.7334767762757847,0.012722765330464474,0.39454604986201414,0.2868702932784508,1.7442670019626334
короткий (2-8д),BTC-NASDAQ,6087,True,7.152504328934484,0.7557331954767028,0.7474946607524232,0.017578445868243798,0.44685395104320685,0.2855265319533432,0.08825745835920258
средний (8-32д),BTC-NASDAQ,8666,True,-7.183960685567194,0.6058473753362874,0.6464343411031618,0.08181398569120701,0.28767597507500575,0.412647126702054,0.0847122375556921
длинный (32-128д),BTC-NASDAQ,5762,True,18.690245681200278,0.7761702903570805,0.6537660534536619,0.009198195071155848,0.530197847969455,0.27230128427629297,4.20378564173052
короткий (2-8д),BTC-GOLD,3027,True,-28.00261358608232,0.36295811661745114,0.40006607201850014,0.10042946812025107,0.30393128510075984,0.4823257350512058,-0.15971918868226725
средний (8-32д),BTC-GOLD,2982,True,22.505685285035003,0.41345514466575745,0.3085177733065057,0.056002682763246145,0.5080482897384306,0.38195841716968476,0.35714869742721667
длинный (32-128д),BTC-GOLD,4536,True,-30.739529913971552,0.6715251756741234,0.48500881834215165,0.012345679012345678,0.20679012345679013,0.7350088183421517,-3.473099449577183
короткий (2-8д),USDC-DAI,11718,True,3.415988979900326,0.7858812864311415,0.7952722307561018,0.014166239972691586,0.37147977470558113,0.31387608806963646,0.06948733195174042
средний (8-32д),USDC-DAI,20310,True,2.5161453440385544,0.8274414252635665,0.8250123092072871,0.013934022648941408,0.3119153126538651,0.254849827671098,0.07359512520401551
длинный (32-128д),USDC-DAI,20751,True,6.218443393946369,0.835916573138884,0.894800250590333,0.0516601609560985,0.30610572984434486,0.12534335694665316,0.5898687378077853
